03-12-17:58:17 0.01
03-12-17:58:22 0.00
03-12-17:58:27 0.01
03-12-19:58:27 0.0103-13-18:33:04 0.01
03-13-18:33:09 0.01
03-13-18:33:14 0.01
03-13-18:33:19 0.01
03-13-18:33:24 0.01
03-13-18:33:29 0.01
03-13-18:33:34 0.01
03-13-18:33:40 0.01
03-13-18:33:45 0.01
03-13-18:33:50 0.01
03-13-18:33:55 0.01
03-13-18:34:00 0.01
03-13-18:34:05 0.01
03-13-18:34:10 0.01
03-13-18:34:15 0.01
03-13-18:34:20 0.01
03-13-18:34:25 0.01
03-13-18:34:30 0.01
03-13-18:34:35 0.01
03-13-18:34:40 0.01
03-13-18:34:45 0.01
03-13-18:34:50 0.01
03-13-18:34:56 0.01
03-13-18:35:01 0.01
03-13-18:35:06 0.01
03-13-18:35:11 0.01
03-13-18:35:16 0.01
03-13-18:35:21 0.01
03-13-18:35:26 0.01
03-13-18:35:31 0.01
03-13-18:35:36 0.01
03-13-18:35:41 0.01
03-13-18:35:46 0.01
03-13-18:35:51 0.01
03-13-18:35:56 0.01
03-13-18:36:01 0.01
03-13-18:36:06 0.01
03-13-18:36:11 0.01
03-13-18:36:16 0.01
03-13-18:36:22 0.01
03-13-18:36:27 0.01
03-13-18:36:32 0.01
03-13-18:36:37 0.01
03-13-18:36:42 0.01
03-13-18:36:47 0.01
03-13-18:36:52 0.01
03-13-18:36:57 0.01
03-13-18:37:02 0.01
03-13-18:37:07 0.01
03-13-18:37:12 0.01
03-13-18:37:17 0.01
03-13-18:37:22 0.01
03-13-18:37:27 0.01
03-13-18:37:32 0.01
03-13-18:37:37 0.01
03-13-18:37:42 0.01
03-13-18:37:48 0.01
03-13-18:37:53 0.01
03-13-18:37:58 0.01
03-13-18:38:03 0.01
03-13-18:38:08 0.01
03-13-18:38:13 0.01
03-13-18:38:18 0.01
03-13-18:38:23 0.01
03-13-18:38:28 0.01
03-13-18:38:33 0.01
03-13-18:38:38 0.01
03-13-18:38:43 0.01
03-13-18:38:48 0.01
03-13-18:38:53 0.01
03-13-18:38:58 0.01
03-13-18:39:03 0.01
03-13-18:39:08 0.01
03-13-18:39:14 0.01
03-13-18:39:19 0.01
03-13-18:39:24 0.01
03-13-18:39:29 0.01
03-13-18:39:34 0.01
03-13-18:39:39 0.01
03-13-18:39:44 0.01
03-13-18:39:49 0.01
03-13-18:39:54 0.01
03-13-18:39:59 0.01
03-13-18:40:04 0.01
03-13-18:40:09 0.01
03-13-18:40:14 0.01
03-13-18:40:19 0.01
03-13-18:40:24 0.01
03-13-18:40:29 0.01
03-13-18:40:34 0.01
03-13-18:40:40 0.01
03-13-18:40:45 0.01
03-13-18:40:50 0.01
03-13-18:40:55 0.01
03-13-18:41:00 0.01
03-13-18:41:05 0.01
03-13-18:41:10 0.01
03-13-18:41:15 0.01
03-13-18:41:20 0.01
03-13-18:41:25 0.01
03-13-18:41:30 0.01
03-13-18:41:35 0.01
03-13-18:41:40 0.01
03-13-18:41:45 0.01
03-13-18:41:51 0.01
03-13-18:41:56 0.01
03-13-18:42:01 0.01
03-13-18:42:06 0.01
03-13-18:42:11 0.01
03-13-18:42:16 0.01
03-13-18:42:21 0.01
03-13-18:42:26 0.01
03-13-18:42:31 0.01
03-13-18:42:36 0.01
03-13-18:42:41 0.01
03-13-18:42:46 0.01
03-13-18:42:51 0.01
03-13-18:42:56 0.01
03-13-18:43:01 0.01
03-13-18:43:06 0.01
03-13-18:43:11 0.01
03-13-18:43:17 0.01
03-13-18:43:22 0.01
03-13-18:43:27 0.01
03-13-18:43:32 0.01
03-13-18:43:37 0.01
03-13-18:43:42 0.01
03-13-18:43:47 0.01
03-13-18:43:52 0.01
03-13-18:43:57 0.01
03-13-18:44:02 0.01
03-13-18:44:07 0.01
03-13-18:44:12 0.01
03-13-18:44:17 0.01
03-13-18:44:22 0.01
03-13-18:44:27 0.01
03-13-18:44:32 0.01
03-13-18:44:37 0.01
03-13-18:44:43 0.01
03-13-18:44:48 0.01
03-13-18:44:53 0.01
03-13-18:44:58 0.01
03-13-18:45:03 0.01
03-13-18:45:08 0.01
03-13-18:45:13 0.01
03-13-18:45:18 0.01
03-13-18:45:23 0.01
03-13-18:45:28 0.01
03-13-18:45:33 0.01
03-13-18:45:38 0.01
03-13-18:45:43 0.01
03-13-18:45:48 0.01
03-13-18:45:53 0.01
03-13-18:45:58 0.01
03-13-18:46:03 0.01
03-13-18:46:09 0.01
03-13-18:46:14 0.01
03-13-18:46:19 0.01
03-13-18:46:24 0.01
03-13-18:46:29 0.01
03-13-18:46:34 0.01
03-13-18:46:39 0.01
03-13-18:46:44 0.01
03-13-18:46:49 0.01
03-13-18:46:54 0.01
03-13-18:46:59 0.01
03-13-18:47:04 0.01
03-13-18:47:09 0.01
03-13-18:47:14 0.01
03-13-18:47:19 0.01
03-13-18:47:24 0.01
03-13-18:47:29 0.01
03-13-18:47:35 0.01
03-13-18:47:40 0.01
03-13-18:47:45 0.01
03-13-18:47:50 0.01
03-13-18:47:55 0.01
03-13-18:48:00 0.01
03-13-18:48:05 0.01
03-13-18:48:10 0.01
03-13-18:48:15 0.01
03-13-18:48:20 0.01
03-13-18:48:25 0.01
03-13-18:48:30 0.01
03-13-18:48:35 0.01
03-13-18:48:40 0.01
03-13-18:48:45 0.01
03-13-18:48:50 0.01
03-13-18:48:56 0.01
03-13-18:49:01 0.01
03-13-18:49:06 0.01
03-13-18:49:11 0.01
03-13-18:49:16 0.01
03-13-18:49:21 0.01
03-13-18:49:26 0.01
03-13-18:49:31 0.01
03-13-18:49:36 0.01
03-13-18:49:41 0.01
03-13-18:49:46 0.01
03-13-18:49:51 0.01
03-13-18:49:56 0.01
03-13-18:50:01 0.01
03-13-18:50:06 0.01
03-13-18:50:11 0.01
03-13-18:50:17 0.01
03-13-18:50:22 0.01
03-13-18:50:27 0.01
03-13-18:50:32 0.01
03-13-18:50:37 0.01
03-13-18:50:42 0.01
03-13-18:50:47 0.01
03-13-18:50:52 0.01
03-13-18:50:57 0.01
03-13-18:51:02 0.01
03-13-18:51:07 0.01
03-13-18:51:12 0.01
03-13-18:51:17 0.01
03-13-18:51:22 0.01
03-13-18:51:27 0.01
03-13-18:51:33 0.01
03-13-18:51:38 0.01
03-13-18:51:43 0.01
03-13-18:51:48 0.01
03-13-18:51:53 0.01
03-13-18:51:58 0.01
03-13-18:52:03 0.01
03-13-18:52:08 0.01
03-13-18:52:13 0.01
03-13-18:52:18 0.01
03-13-18:52:23 0.01
03-13-18:52:28 0.01
03-13-18:52:33 0.01
03-13-18:52:38 0.01
03-13-18:52:43 0.01
03-13-18:52:49 0.01
03-13-18:52:54 0.01
03-13-18:52:59 0.01
03-13-18:53:04 0.01
03-13-18:53:09 0.01
03-13-18:53:14 0.01
03-13-18:53:19 0.01
03-13-18:53:24 0.01
03-13-18:53:29 0.01
03-13-18:53:34 0.01
03-13-18:53:39 0.01
03-13-18:53:44 0.01
03-13-18:53:49 0.01
03-13-18:53:54 0.01
03-13-18:54:00 0.01
03-13-18:54:05 0.01
03-13-18:54:10 0.01
03-13-18:54:15 0.01
03-13-18:54:20 0.01
03-13-18:54:25 0.01
03-13-18:54:30 0.01
03-13-18:54:35 0.01
03-13-18:54:40 0.01
03-13-18:54:45 0.01
03-13-18:54:50 0.01
03-13-18:54:55 0.01
03-13-18:55:00 0.01
03-13-18:55:05 0.01
03-13-18:55:10 0.01
03-13-18:55:16 0.01
03-13-18:55:21 0.01
03-13-18:55:26 0.01
03-13-18:55:31 0.01
03-13-18:55:36 0.01
03-13-18:55:41 0.01
03-13-18:55:46 0.01
03-13-18:55:51 0.01
03-13-18:55:56 0.01
03-13-18:56:01 0.01
03-13-18:56:06 0.01
03-13-18:56:11 0.01
03-13-18:56:16 0.01
03-13-18:56:21 0.01
03-13-18:56:26 0.01
03-13-18:56:31 0.01
03-13-18:56:37 0.01
03-13-18:56:42 0.01
03-13-18:56:47 0.01
03-13-18:56:52 0.01
03-13-18:56:57 0.01
03-13-18:57:02 0.01
03-13-18:57:07 0.01
03-13-18:57:12 0.01
03-13-18:57:17 0.01
03-13-18:57:22 0.01
03-13-18:57:27 0.01
03-13-18:57:32 0.01
03-13-18:57:37 0.01
03-13-18:57:42 0.01
03-13-18:57:47 0.01
03-13-18:57:52 0.01
03-13-18:57:58 0.01
03-13-18:58:03 0.01
03-13-18:58:08 0.01
03-13-18:58:13 0.01
03-13-18:58:18 0.01
03-13-18:58:23 0.01
03-13-18:58:28 0.01
03-13-18:58:33 0.01
03-13-18:58:38 0.01
03-13-18:58:43 0.01
03-13-18:58:48 0.01
03-13-18:58:53 0.01
03-13-18:58:58 0.01
03-13-18:59:03 0.01
03-13-18:59:08 0.01
03-13-18:59:13 0.01
03-13-18:59:19 0.01
03-13-18:59:24 0.01
03-13-18:59:29 0.01
03-13-18:59:34 0.01
03-13-18:59:39 0.01
03-13-18:59:44 0.01
03-13-18:59:49 0.01
03-13-18:59:54 0.01
03-13-18:59:59 0.01
03-13-19:00:04 0.01
03-13-19:00:09 0.01
03-13-19:00:14 0.01
03-13-19:00:19 0.01
